titulo_original,relevancia,publico_alvo,tipo_cobertura,noticiado,arquivo_rascunho,justificativa
"ATA (COEX) Reunião Ordinária nº 77, de 16-03-2026. - pg. 267",média,comunidade externa,matéria média,True,saidas\rascunhos\001_ufms_prepara_abertura_do_primeiro_planetário_fixo_.md,"Embora seja uma ata de reunião, o texto traz informações relevantes sobre a abertura do primeiro Planetário fixo de MS e a programação da COP15, além de competições esportivas para estudantes. Esses fatos possuem interesse público e potencial de atração de visitantes externos, justificando uma matéria que organize esses anúncios."
"EDITAL (PROGRAD/RTR) nº 257, de 17-06-2026. - pg. 192",alta,estudantes,nota curta,True,saidas\rascunhos\002_ufms_publica_segunda_convocação_para_matrícula_em_.md,"O ato trata de convocação para matrícula em processo seletivo de movimentação interna e reingresso, impactando diretamente a vida acadêmica dos estudantes. Por ser um aviso com prazos rígidos e curtos, requer divulgação imediata para evitar a perda de vagas. A cobertura deve ser pontual, focando nas datas e no link de matrícula."
"EDITAL (PROGRAD/RTR) nº 258, de 17-06-2026. - pg. 198",média,estudantes,nota curta,True,saidas\rascunhos\003_ufms_divulga_resultado_final_de_seleção_para_cadas.md,"O ato divulga o resultado final de uma seleção de bolsas (Pibid), o que é de interesse direto dos estudantes de licenciatura. No entanto, como se trata especificamente de uma lista de cadastro reserva, a cobertura deve ser pontual, servindo apenas como aviso de convocação e transparência."
"EDITAL (PROGRAD/RTR) nº 259, de 17-06-2026. - pg. 202",média,servidores,nota curta,True,saidas\rascunhos\004_ufms_divulga_resultado_final_de_seleção_para_super.md,"O ato divulga o resultado final de uma seleção para supervisores do PIBID, impactando docentes da instituição. Por se tratar de um resultado de fluxo contínuo com poucas convocações e muitas vagas desertas, a cobertura deve ser pontual apenas para informar os selecionados."
"EDITAL (PROGRAD/RTR) nº 260, de 17-06-2026. - pg. 205",alta,estudantes,nota curta,True,saidas\rascunhos\005_ufms_convoca_estudantes_de_licenciatura_para_bolsa.md,"O ato trata da convocação de bolsistas para o Pibid, programa de grande impacto financeiro e acadêmico para estudantes de licenciatura. A cobertura é recomendada como nota curta para alertar os convocados sobre os prazos rigorosos de apresentação e desistência."
"EDITAL (PROECE/RTR) nº 331, de 16-06-2026. - pg. 210",média,estudantes,nota curta,True,saidas\rascunhos\006_ufms_divulga_resultado_de_seleção_para_a_bolsa_art.md,"O ato divulga o resultado de bolsas para estudantes, o que gera interesse direto aos beneficiários e candidatos. Por se tratar de uma lista de nomes (resultado de edital), a cobertura adequada é uma nota curta informativa com link para o documento completo."
"EDITAL (PROECE/RTR) nº 332, de 16-06-2026. - pg. 222",alta,estudantes,nota curta,True,saidas\rascunhos\007_proece_divulga_resultado_preliminar_de_bolsas_e_au.md,"O ato divulga o resultado preliminar de bolsas e auxílios para ações de extensão (PAEXT 2026), impactando diretamente a vida financeira e acadêmica de estudantes e docentes. Por se tratar de uma lista de resultados, a cobertura deve ser pontual, orientando os interessados a consultarem a relação de contemplados."
"EDITAL (PROECE/RTR) nº 330, de 16-06-2026. - pg. 216",alta,estudantes,nota curta,True,saidas\rascunhos\008_proece_divulga_resultado_de_bolsas_de_extensão_uni.md,"O ato divulga o resultado de bolsas de extensão, o que impacta diretamente a vida financeira e acadêmica dos estudantes selecionados. Por ser a publicação de uma lista de nomes, a cobertura adequada é uma nota curta informativa que direcione os interessados ao edital completo."
"EDITAL (CGL/BIO/CPAQ) nº 2, de 15-06-2026. - pg. 246",baixa,servidores,não-noticiar,False,,Trata-se de uma convocação rotineira para reunião ordinária de colegiado de curso. O ato não apresenta deliberações de impacto geral ou interesse jornalístico para a comunidade universitária.
"EDITAL (CPNV) nº 33, de 16-06-2026. - pg. 247",baixa,servidores,não-noticiar,False,,"O ato trata apenas da homologação de inscrições para a coordenação de um curso específico em um campus do interior. Por ser um trâmite administrativo interno de baixa abrangência, não possui interesse jornalístico para o portal geral da Universidade."
"EDITAL (CAS/CPNA) nº 3, de 16-06-2026. - pg. 249",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de convocação para reunião ordinária de conselho de unidade. O conteúdo da pauta é procedimental e não apresenta decisões ou fatos de interesse geral para a comunidade universitária.
"ATA (CGL-PED/CPNV/UFMS) Reunião Ordinária nº 1, de 31-03-2026. - pg. 269",baixa,servidores,não-noticiar,False,,"Trata-se de uma ata de reunião ordinária de colegiado com pautas administrativas rotineiras, como aprovação de atas anteriores e planos de ação. Embora mencione carência de docentes, a discussão é interna e preliminar, não possuindo caráter de notícia para a comunidade geral."
"EDITAL (FACFAN/UFMS) nº 18, de 16-06-2026. - pg. 250",baixa,servidores,não-noticiar,False,,"O ato trata de um processo seletivo interno com apenas uma vaga para teletrabalho no exterior, destinado a um grupo muito restrito de servidores da FACFAN. Devido ao caráter pontual e ao baixíssimo impacto na comunidade universitária em geral, não possui interesse jornalístico para o portal de notícias."
"EDITAL (CPOS-BIA/INBIO/UFMS) nº 2, de 16-06-2026. - pg. 256",baixa,servidores,não-noticiar,False,,"Trata-se de uma convocação para reunião ordinária de colegiado, um ato administrativo de rotina interna. O conteúdo da pauta não apresenta deliberações extraordinárias ou de impacto geral que justifiquem a divulgação no portal de notícias."
"EDITAL (CAS/INMA) nº 3, de 16-06-2026. - pg. 257",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de convocação para reunião ordinária de conselho interno. O conteúdo da pauta é procedimental e não apresenta impacto ou interesse jornalístico para a comunidade acadêmica em geral.
"EDITAL DE CONVOCAÇÃO (CAS/INQUI) nº 2, de 17-06-2026. - pg. 259",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de convocação para reunião ordinária de conselho de instituto. O conteúdo é de interesse restrito aos membros do conselho e não apresenta deliberações de impacto geral para a comunidade universitária.
"EDITAL (CGT-PGR/ESAN) nº 2, de 17-06-2026. - pg. 260",baixa,servidores,não-noticiar,False,,"Trata-se de uma convocação rotineira para reunião ordinária de colegiado de curso. O ato não apresenta deliberações ou decisões de impacto público, possuindo interesse apenas para os membros convocados."
"EDITAL (AGEAD) nº 132, de 16-06-2026. - pg. 263",baixa,servidores,não-noticiar,False,,"O ato trata da concessão de bolsas para membros específicos de uma equipe de apoio administrativo-financeiro já constituída. Por ser uma formalização de pagamento de bolsistas pontuais em um projeto interno, não possui interesse público ou impacto generalizado que justifique a publicação no portal de notícias."
"EDITAL (AGEAD) nº 131, de 16-06-2026. - pg. 261",média,servidores,nota curta,True,saidas\rascunhos\009_ufms_concede_bolsas_para_projeto_de_educação_digit.md,"O ato formaliza a concessão de bolsas para a coordenação de um projeto estratégico de educação digital e conectividade escolar. Embora seja um ato administrativo de designação, o projeto possui impacto institucional relevante, justificando a publicação de uma nota informativa para a comunidade acadêmica."
"EDITAL CONJUNTO (PROGEP/AGETIC) nº 4, de 17-06-2026. - pg. 294",alta,servidores,nota curta,True,saidas\rascunhos\010_ufms_abre_inscrições_para_disponibilização_de_comp.md,"O ato oferece a disponibilização de equipamentos de trabalho para docentes e técnicos-administrativos, impactando diretamente a infraestrutura de trabalho de grande parte do corpo funcional. Por ser um edital com prazos definidos e requisitos específicos, requer a divulgação para garantir a ampla participação. Uma nota curta é suficiente para informar a abertura, o prazo e o link de inscrição."
"EXTRATO DE CONTRATO (PROADI/RTR) nº 40, de 17-06-2026. - pg. 265",alta,comunidade externa,matéria média,True,saidas\rascunhos\011_ufms_firma_contrato_para_implantar_observatório_de.md,"O contrato envolve um valor expressivo e a implementação de um Observatório de Educação Digital e de uma Rede de Formadores vinculada a uma Estratégia Nacional. O impacto extrapola a universidade, atingindo a governança federativa de escolas conectadas, o que justifica a divulgação do projeto e seus objetivos."
"PORTARIA (RTR) nº 1027, de 16-06-2026. - pg. 4",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de autorização para atividade remunerada esporádica de um único servidor. O conteúdo não possui impacto coletivo ou interesse público que justifique a publicação no portal de notícias da Universidade.
"ATA (CAS/INFI) Reunião Ordinária nº 118, de 02-04-2026. - pg. 272",baixa,servidores,não-noticiar,False,,"O texto trata-se de uma ata de reunião ordinária com pautas administrativas internas, como posse de conselheiros, homologação de resoluções ad referendum e ajustes em regulamentos de laboratório. Não há decisões estratégicas ou fatos de impacto amplo que justifiquem a publicação no portal de notícias da Universidade."
"PORTARIA (RTR) nº 1028, de 16-06-2026. - pg. 5",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de autorização para atividade remunerada esporádica de uma única servidora. O conteúdo não possui impacto coletivo nem interesse público que justifique a publicação no portal de notícias da instituição.
"PORTARIA (RTR) nº 1030, de 16-06-2026. - pg. 7",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de autorização para atividade esporádica remunerada de uma única servidora. O fato não possui impacto institucional amplo nem interesse público que justifique a publicação no portal de notícias.
"PORTARIA (RTR) nº 1031, de 16-06-2026. - pg. 8",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de afastamento individual para participação em evento. Não apresenta impacto coletivo ou interesse público amplo que justifique a publicação no portal de notícias da Universidade.
"PORTARIA (RTR) nº 1032, de 16-06-2026. - pg. 9",baixa,servidores,não-noticiar,False,,"O ato trata apenas de uma alteração administrativa de nível de cargo de direção (CD4 para CD3) de uma servidora. Trata-se de uma movimentação interna de rotina, sem impacto direto na comunidade acadêmica ou interesse público geral."
"PORTARIA (RTR) nº 1033, de 16-06-2026. - pg. 10",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de autorização de deslocamento (diárias/passagens) para participação em evento. O conteúdo não apresenta impacto geral para a comunidade acadêmica nem ineditismo que justifique a publicação no portal de notícias.
"PORTARIA (RTR) nº 1034, de 16-06-2026. - pg. 11",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de autorização de deslocamento (diárias/passagens) para participação em evento. O conteúdo não possui impacto geral para a comunidade acadêmica nem relevância jornalística para o portal de notícias.
"PORTARIA (RTR) nº 1035, de 16-06-2026. - pg. 12",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de autorização de deslocamento para reunião interna. O conteúdo não apresenta impacto público ou interesse jornalístico para a comunidade acadêmica em geral.
"PORTARIA (RTR) nº 1036, de 16-06-2026. - pg. 13",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de prorrogação de prazo para comissão de processo disciplinar. O conteúdo não possui interesse público ou impacto geral que justifique a divulgação no portal de notícias da instituição.
"PORTARIA (RTR) nº 1024, de 15-06-2026. - pg. 1",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de afastamento de servidor para participação em evento. O fato não possui impacto amplo ou interesse jornalístico para a comunidade universitária em geral.
"PORTARIA (RTR) nº 1025, de 15-06-2026. - pg. 2",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de designação de substituto para coordenação de curso. O conteúdo não possui impacto amplo ou interesse jornalístico para a comunidade universitária em geral.
"ATA (CPOS-QUI/INQUI) Reunião Ordinária nº 88, de 17-06-2026. - pg. 276",média,estudantes,nota curta,True,saidas\rascunhos\012_programa_de_pós_graduação_em_química_homologa_resu.md,"O ato homologa o resultado final do processo seletivo para mestrado e doutorado em Química, o que é de interesse direto dos candidatos e da comunidade acadêmica da área. Por ser a divulgação de uma lista de aprovados, a cobertura adequada é uma nota curta informativa."
"PORTARIA (RTR) nº 1026, de 16-06-2026. - pg. 3",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de requisição de servidora para órgão externo. O conteúdo não possui impacto coletivo ou interesse público que justifique a publicação no portal de notícias da instituição.
"PORTARIA (RTR) nº 1029, de 16-06-2026. - pg. 6",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de autorização para atividade remunerada esporádica de um único servidor. O conteúdo não possui impacto coletivo ou interesse público que justifique a publicação no portal de notícias da instituição.
"PORTARIA (PROAES/RTR) nº 17, de 16-06-2026. - pg. 14",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de afastamento de servidora para participação em evento. O fato não possui impacto amplo na comunidade acadêmica nem relevância institucional que justifique a publicação no portal de notícias.
"PORTARIA (PROAES/RTR) nº 18, de 16-06-2026. - pg. 15",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de afastamento de servidor para participação em evento. O fato não possui impacto coletivo ou interesse público que justifique a publicação no portal de notícias da Universidade.
"PORTARIA (PROGEP/RTR) nº 327, de 16-06-2026. - pg. 16",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo individual e rotineiro de alteração de tempo de contribuição para fins de aposentadoria de uma servidora específica. O conteúdo não possui interesse público ou impacto coletivo que justifique a publicação no portal de notícias da Universidade.
"PORTARIA (PROGEP/RTR) nº 328, de 16-06-2026. - pg. 17",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de concessão de adicional de insalubridade para uma única servidora. O conteúdo não possui interesse público ou impacto institucional que justifique a divulgação no portal de notícias da Universidade.
"PORTARIA (PROGEP/RTR) nº 329, de 16-06-2026. - pg. 19",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de concessão de adicional de insalubridade a um único servidor. O conteúdo não possui interesse público ou impacto institucional que justifique a divulgação no portal de notícias da Universidade.
"PORTARIA (PROGEP/RTR) nº 330, de 16-06-2026. - pg. 21",baixa,comunidade externa,não-noticiar,False,,"O ato trata apenas da composição nominal de uma comissão recursal para um concurso público, sendo uma etapa administrativa rotineira. A informação já é pública via edital e boletim oficial, não possuindo impacto generalizado que justifique a produção de conteúdo jornalístico."
"PORTARIA (CPCS) nº 80, de 16-06-2026. - pg. 23",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de autorização de deslocamento de servidor para evento e pesquisa. O conteúdo não possui impacto coletivo ou interesse público que justifique a publicação no portal de notícias da Universidade.
"PORTARIA CONJUNTA (RTR) nº 11, de 15-06-2026. - pg. 280",baixa,servidores,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de anulação de portaria de afastamento de uma servidora específica. O conteúdo não possui impacto coletivo ou interesse público que justifique a publicação no portal de notícias da instituição.
EXTRATO DE TERMO ADITIVO AO TERMO DE AUTORIZAÇÃO DE USO n° 4 - pg. 266,baixa,comunidade externa,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de cessão de espaço físico para um evento pontual de terceiro. O conteúdo não apresenta impacto estratégico ou interesse geral que justifique a mobilização da equipe de redação para a publicação de notícia.
"EDITAL (PROAES/RTR) nº 90, de 16-06-2026. - pg. 171",baixa,comunidade externa,não-noticiar,False,,Trata-se de um ato administrativo rotineiro de cessão de espaço físico para um evento pontual de terceiro. O impacto é limitado ao campus de Paranaíba e não apresenta interesse jornalístico institucional para o portal geral da UFMS.
"EDITAL (PROAES/RTR) nº 91, de 16-06-2026. - pg. 173",alta,estudantes,nota curta,True,saidas\rascunhos\013_proaes_divulga_resultado_final_de_empréstimo_de_no.md,"O ato divulga o resultado final de empréstimo de equipamentos tecnológicos para estudantes em vulnerabilidade socioeconômica, impactando diretamente a permanência estudantil. A cobertura deve ser pontual para informar os classificados sobre o prazo rigoroso de 10 dias para a retirada dos equipamentos."
"EDITAL (PROAES/RTR) nº 92, de 16-06-2026. - pg. 186",alta,estudantes,matéria média,True,saidas\rascunhos\014_ufms_divulga_resultado_de_auxílio_para_estudantes_.md,O ato divulga o resultado de fomento financeiro para estudantes em vulnerabilidade socioeconômica apresentarem trabalhos em eventos nacionais e internacionais. Possui alto valor jornalístico por destacar a democratização do acesso à pesquisa e a representação institucional da UFMS em congressos. A cobertura média permite listar as áreas contempladas e enfatizar a importância do apoio da Proaes.
"EDITAL (PROCIDS/RTR) nº 25, de 16-06-2026. - pg. 190",média,estudantes,nota curta,True,saidas\rascunhos\015_programa_sou_mulher_ufms_divulga_resultado_prelimi.md,"O ato divulga o resultado preliminar de um programa de mentoria voltado ao desenvolvimento de mulheres na UFMS, possuindo interesse para estudantes e servidoras. Por se tratar de uma lista de selecionados de fluxo contínuo, a cobertura adequada é uma nota curta informativa com a orientação sobre recursos."
